"tap_sec","group_member","condition","group_number","trial"
"12.874740",2,"loner_subgroup",2,1
"13.488617",1,"loner_subgroup",2,1
"13.981678",3,"loner_subgroup",2,1
"14.021950",2,"loner_subgroup",2,1
"14.554195",1,"loner_subgroup",2,1
"15.056689",2,"loner_subgroup",2,1
"15.068299",3,"loner_subgroup",2,1
"15.640817",1,"loner_subgroup",2,1
"16.120817",3,"loner_subgroup",2,1
"16.203175",2,"loner_subgroup",2,1
"2.640181",1,"loner_subgroup",2,2
"3.255510",2,"loner_subgroup",2,2
"3.283084",3,"loner_subgroup",2,2
"3.912199",1,"loner_subgroup",2,2
"4.447347",2,"loner_subgroup",2,2
"4.449887",3,"loner_subgroup",2,2
"5.081179",1,"loner_subgroup",2,2
"5.622857",2,"loner_subgroup",2,2
"5.640272",3,"loner_subgroup",2,2
"6.288980",1,"loner_subgroup",2,2
"6.829206",3,"loner_subgroup",2,2
"6.873469",2,"loner_subgroup",2,2
"7.407891",1,"loner_subgroup",2,2
"7.943764",2,"loner_subgroup",2,2
"7.945578",3,"loner_subgroup",2,2
"8.562721",1,"loner_subgroup",2,2
"9.071020",3,"loner_subgroup",2,2
"9.117824",2,"loner_subgroup",2,2
"9.744399",1,"loner_subgroup",2,2
"10.245079",3,"loner_subgroup",2,2
"10.334694",2,"loner_subgroup",2,2
"10.945669",1,"loner_subgroup",2,2
"11.490250",3,"loner_subgroup",2,2
"11.545759",2,"loner_subgroup",2,2
"12.170158",1,"loner_subgroup",2,2
"12.676644",3,"loner_subgroup",2,2
"12.799274",2,"loner_subgroup",2,2
"13.362358",1,"loner_subgroup",2,2
"13.904037",3,"loner_subgroup",2,2
"13.998005",2,"loner_subgroup",2,2
"14.581406",1,"loner_subgroup",2,2
"15.112926",3,"loner_subgroup",2,2
"15.140862",2,"loner_subgroup",2,2
"15.758004",1,"loner_subgroup",2,2
"16.263763",3,"loner_subgroup",2,2
"16.308027",2,"loner_subgroup",2,2
"2.692064",1,"loner_subgroup",2,3
"3.258775",3,"loner_subgroup",2,3
"3.354921",2,"loner_subgroup",2,3
"3.998912",1,"loner_subgroup",2,3
"4.604082",3,"loner_subgroup",2,3
"4.641451",2,"loner_subgroup",2,3
"5.232834",1,"loner_subgroup",2,3
"5.803174",3,"loner_subgroup",2,3
"5.847438",2,"loner_subgroup",2,3
"6.459138",1,"loner_subgroup",2,3
"7.040726",3,"loner_subgroup",2,3
"7.075193",2,"loner_subgroup",2,3
"7.702132",1,"loner_subgroup",2,3
"8.227846",3,"loner_subgroup",2,3
"8.263039",2,"loner_subgroup",2,3
"8.889614",1,"loner_subgroup",2,3
"9.431293",3,"loner_subgroup",2,3
"9.495873",2,"loner_subgroup",2,3
"10.136599",1,"loner_subgroup",2,3
"10.701496",3,"loner_subgroup",2,3
"10.720000",2,"loner_subgroup",2,3
"11.369433",1,"loner_subgroup",2,3
"11.891882",3,"loner_subgroup",2,3
"11.963356",2,"loner_subgroup",2,3
"12.580136",1,"loner_subgroup",2,3
"13.113832",3,"loner_subgroup",2,3
"13.175147",2,"loner_subgroup",2,3
"13.732063",1,"loner_subgroup",2,3
"14.268299",3,"loner_subgroup",2,3
"14.334332",2,"loner_subgroup",2,3
